"","X","participant","ProlificParticipantID","font","crowdingDistance_Left","crowdingDistance_Right","questSD_Left","questSD_Right","CMFRT","CMMNT","readingSpeedMeanWPM","questMeanAtEndOfTrialsLoop","rsvpQuestSD","rsvpReadingSpeed","BTY","CMFRTOR","readingCorpus","readingPC","STAB_1","STAB_2","STAB_3","COMP_1","COMP_2","COMP_3","FONTS","AGE","ART","MUSIC","USE","SIMP","DYN_1","DYN_2","DYN_3","CLIKE_1","CLIKE_2","CLIKE_3","ABT","SEX","ARTIST","MUSICIAN","BC","MIN","DLIKE_1","DLIKE_2","DLIKE_3","CBEAUT_1","CBEAUT_2","CBEAUT_3","PROF","ARTYR","MUSICYR","CHALL","BEH","DBEUT_1","DBEUT_2","DBEUT_3","EDU","GRAPH","READ","ARTCHALL","COMP","ETHN","ABST","LATIN","PRED","SYM","MOD","RAD","SONG","PROB","crowdingBlock","rsvpBlock","readingBlock","cores","deviceBrowser","deviceBrowserVersion","deviceType","deviceSystem","screenSize","timestamp","fontGroup","count_Left","count_Right","logLRCrowdingDistance","logCrowdingDistance_Right","logCrowdingDistance_Left","logBouma","condition","Subcategory","perimetricComplexity","perimetricComplexityMin","perimetricComplexityMax","perimetricComplexitySD","perimetricComplexityWCapitals","NadineCategory","HannesCategory","LauraCategory","Category","Category2","xHeightToNominal","spacingToNominal"
"101",1580,"LuckyForestApple650","5b735a4c3503c60001a891b7","Rollerscript",3.02643824,1.147271853,0.076906613,0.055647311,4,"It was alright. It reminded me of reading my old diaries from middle school since I primarily wrote in cursive back then.",260.516411758594,-1.239911533,0.033070335,1042.46812194906,6,4,"Spiders.txt",1,"5","4","3",5,5,"5","Yes","30",6,5,5,4,"3","3",4,4,4,"4","I still think it's about how different fonts affect perception.","Female","Yes","No",4,5,"2","4","4","3",4,"4","Unemployed, looking for work","0 if you mean formally trained. I've been doing art on and off for about a decade though.","1",4,7,"2","3","3","High School (including GED)",3,6,4,4,"White/Caucasian",3,1,"My love of the fantasy genre. Also, I have adhd but I don't know if that would affect that.",4,4,2,"Way Down Hadestown from the musical Hadestown and Everything I Wanted by Billie Eilish","no",11,33,21,12,"Chrome","131.0.0.0","desktop","Windows 10","2048,1152",2025-01-16 20:57:32.851,"C",35,35,0.270299077282482,0.0596663387980977,0.480931815766867,-0.428670927053536,"retest","Hand lettering",30.1874,16.275,56.2756,9.7648,32.4904,"Script","Script","Script","Script","Script",0.49,0.46
"102",1581,"LuckyForestApple650","5b735a4c3503c60001a891b7","ScarletWood",0.471737543,0.624906743,0.048062307,0.046812008,4,"It's okay. Like reading from a textbook",326.895996781332,-1.381030464,0.034634671,1442.71887734434,2,4,"Colours.txt",0.8,"5","4","3",5,5,"5","Yes","30",6,5,5,4,"3","3",4,4,4,"4","I still think it's about how different fonts affect perception.","Female","Yes","No",4,5,"2","4","4","3",4,"4","Unemployed, looking for work","0 if you mean formally trained. I've been doing art on and off for about a decade though.","1",4,7,"2","3","3","High School (including GED)",3,6,4,4,"White/Caucasian",3,1,"My love of the fantasy genre. Also, I have adhd but I don't know if that would affect that.",4,4,2,"Way Down Hadestown from the musical Hadestown and Everything I Wanted by Billie Eilish","no",11,33,21,12,"Chrome","131.0.0.0","desktop","Windows 10","2048,1152",2025-01-16 20:57:32.851,"C",35,35,-0.265242174179111,-0.204184789091766,-0.326299559266455,-0.96421217851513,"retest","",21.8791,12.7113,36.2848,5.5947,22.8075,"Text","Text","Display","Text","Sans Serif",0.59,0.54
"103",1405,"KindBlackCat462","5c43517c8fefb60001c447fe","Arial",2.485924642,2.080335849,0.049737058,0.047625394,4,"Pretty easy and straightforward.",315.032597122897,-1.220388004,0.033365536,996.642159118673,4,7,"Beaver.txt",0.8,"7","7","7",5,5,"6","No","40",7,7,4,7,"7","7",7,6,6,"6","I am not sure. Something to do with the eyes and attention?","Other","No","No",4,7,"4","4","4","6",6,"5","Editor/Adjunct Instructor","0","4",5,6,"2","2","2","Graduate degree",1,7,7,6,"White/Caucasian",5,1,"Simple and clear.",7,5,5,"Heavy Friends
Naki Kyoku","No.",41,40,32,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-21 15:30:48.632,"F",35,35,0.356810706197252,0.318133453036428,0.395487959358075,-0.342159298138767,"test","Sans Serif",11.9778,9.7604,14.5767,1.2617,13.0766,"Text","Text","Text","Text","Sans Serif",0.54,0.49
"104",1406,"KindBlackCat462","5c43517c8fefb60001c447fe","Extenda",5.342088148,2.043221001,0.084142513,0.048135356,2,"Quite difficult.",224.873408317907,-1.026053164,0.035493609,637.095319336149,3,1,"Winter.txt",1,"7","7","7",5,5,"6","No","40",7,7,4,7,"7","7",7,6,6,"6","I am not sure. Something to do with the eyes and attention?","Other","No","No",4,7,"4","4","4","6",6,"5","Editor/Adjunct Instructor","0","4",5,6,"2","2","2","Graduate degree",1,7,7,6,"White/Caucasian",5,1,"Simple and clear.",7,5,5,"Heavy Friends
Naki Kyoku","No.",41,40,32,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-21 15:30:48.632,"F",35,35,0.519013196838636,0.3103153437856,0.727711049891672,-0.179956807497383,"test","",43.6546,34.044,57.8721,5.9236,46.642,"Display","Display","Display","Display","Display",0.53,0.09
"105",1407,"KindBlackCat462","5c43517c8fefb60001c447fe","Letraflex",5.729132279,NA,0.045705,0.241497578,4,"A little difficult because the font is bulky.",254.266478167823,-1.00222651,0.033309298,603.083935737547,3,3,"Desert.txt",1,"7","7","7",5,5,"6","No","40",7,7,4,7,"7","7",7,6,6,"6","I am not sure. Something to do with the eyes and attention?","Other","No","No",4,7,"4","4","4","6",6,"5","Editor/Adjunct Instructor","0","4",5,6,"2","2","2","Graduate degree",1,7,7,6,"White/Caucasian",5,1,"Simple and clear.",7,5,5,"Heavy Friends
Naki Kyoku","No.",41,40,32,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-21 15:30:48.632,"F",35,35,NA,NA,0.758088849719775,NA,"test","",10.8577,7.9776,15.7727,1.6908,10.1344,"Display","Display","Display","Display","Display",0.61,0.52
"106",2206,"UpFireFish061","5c43517c8fefb60001c447fe","Arial",1.277799861,0.579526714,0.046418408,0.0536003,6,"Easy and comfortable",362.81179138322,-1.185704003,0.034888635,920.142844943318,5,4,"Islands.txt",0.8,"7","6","5",4,6,"7","Yes","40",7,7,4,7,"2","3",3,5,6,"7","I am not sure.","Other","No","No",5,7,"4","5","5","5",5,"7","Editor/Adjunct Instructor","0","4",5,5,"4","5","5","Graduate degree",1,7,6,7,"White/Caucasian",5,1,"Clear and simple.",7,5,5,"Opale
Shelter","No.",29,37,22,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-22 10:59:07.26,"F",35,35,-0.0652318516724553,-0.236926539898164,0.106462836553254,-0.764201856008474,"retest","Sans Serif",11.9778,9.7604,14.5767,1.2617,13.0766,"Text","Text","Text","Text","Sans Serif",0.54,0.49
"107",2207,"UpFireFish061","5c43517c8fefb60001c447fe","Extenda",5.219939234,4.406129233,0.070393603,0.057531975,2,"Quite difficult.",300.100305265075,-1.073701202,0.03441922,710.971926345161,4,2,"Spiders.txt",1,"7","6","5",4,6,"7","Yes","40",7,7,4,7,"2","3",3,5,6,"7","I am not sure.","Other","No","No",5,7,"4","5","5","5",5,"7","Editor/Adjunct Instructor","0","4",5,5,"4","5","5","Graduate degree",1,7,6,7,"White/Caucasian",5,1,"Clear and simple.",7,5,5,"Opale
Shelter","No.",29,37,22,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-22 10:59:07.26,"F",35,35,0.680861339166172,0.644057230979907,0.717665447352436,-0.0181086651698473,"retest","",43.6546,34.044,57.8721,5.9236,46.642,"Display","Display","Display","Display","Display",0.53,0.09
"108",2208,"UpFireFish061","5c43517c8fefb60001c447fe","Letraflex",2.589321728,3.292199499,0.073999945,0.047737209,4,"It's OK",308.974861461966,-1.129257788,0.033996688,807.995679229319,3,3,"Colours.txt",1,"7","6","5",4,6,"7","Yes","40",7,7,4,7,"2","3",3,5,6,"7","I am not sure.","Other","No","No",5,7,"4","5","5","5",5,"7","Editor/Adjunct Instructor","0","4",5,5,"4","5","5","Graduate degree",1,7,6,7,"White/Caucasian",5,1,"Clear and simple.",7,5,5,"Opale
Shelter","No.",29,37,22,20,"Chrome","132.0.0.0","desktop","Windows 10","1680,1050",2025-01-22 10:59:07.26,"F",35,35,0.465336080083801,0.517486144489707,0.413186015677896,-0.233633924252218,"retest","",10.8577,7.9776,15.7727,1.6908,10.1344,"Display","Display","Display","Display","Display",0.61,0.52
"109",886,"FancyGreenCow931","5c4e3977c0783c00016936f9","Caslon",1.202175773,1.494934264,0.054002557,0.048445669,4,"the font is thin and kind of light so its slightly difficult to read quickly",218.295366285388,-1.405837644,0.033112196,1527.52699638856,4,6,"Beaver.txt",0.8,"6","5","3",4,5,"5","Yes","30",6,6,6,5,"2","2",2,4,4,"4","i have no idea but it was quite the strain","Male","Yes","No",2,5,"4","4","4","4",4,"4","operations manager","2","0",4,6,"2","2","3","Bachelor's degree (4-year)",4,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","no",29,31,41,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 08:20:23.171,"D",35,35,0.127295033805686,0.174622096065309,0.0799679715460634,-0.571674970530333,"test","Serif",22.3114,16.6274,28.5944,3.6642,27.7163,"Text","Text","Text","Text","Serif",0.45,0.45
"110",887,"FancyGreenCow931","5c4e3977c0783c00016936f9","Courier",NA,0.871950604,0.41528262,0.050958555,4,"about the same as i mentioned the first time",280.918776894431,-1.471637689,0.032998519,1777.41540283266,3,6,"Winter.txt",0.8,"6","5","3",4,5,"5","Yes","30",6,6,6,5,"2","2",2,4,4,"4","i have no idea but it was quite the strain","Male","Yes","No",2,5,"4","4","4","4",4,"4","operations manager","2","0",4,6,"2","2","3","Bachelor's degree (4-year)",4,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","no",29,31,41,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 08:20:23.171,"D",35,35,NA,-0.0595081171521302,NA,NA,"test","Monospaced",13.8746,10.9076,17.6571,1.6621,14.6557,"Text","Text","Text","Text","Serif",0.47,0.59
"111",888,"FancyGreenCow931","5c4e3977c0783c00016936f9","LiebeLotte",9.532979437,3.753834657,0.052310069,0.052381683,4,"so far the fonts are easy enough to read for the most part.",221.701713862395,-1.251868072,0.033254274,1071.56697972703,5,6,"Desert.txt",0.8,"6","5","3",4,5,"5","Yes","30",6,6,6,5,"2","2",2,4,4,"4","i have no idea but it was quite the strain","Male","Yes","No",2,5,"4","4","4","4",4,"4","operations manager","2","0",4,6,"2","2","3","Bachelor's degree (4-year)",4,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","no",29,31,41,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 08:20:23.171,"D",35,35,0.776851897910153,0.574475139586891,0.979228656233415,0.077881893574134,"test","Hand lettering",61.4575,37.3904,96.9118,14.5907,89.6582,"Script","Script","Script","Script","Script",0.42,0.31
"112",1753,"RealFireTurkey630","5c4e3977c0783c00016936f9","Caslon",NA,0.500141163,0.201285734,0.047798747,5,"it was simple and easy to read",NA,-1.540622885,0.033231436,2083.40707856818,4,4,"Islands.txt",0.4,"6","5","3",4,6,"6","Yes","30",6,6,4,5,"2","2",3,4,4,"4","unsure","Male","Yes","No",2,4,"4","4","4","4",4,"4","operations manager","2","0",4,5,"2","3","3","Bachelor's degree (4-year)",2,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","none",5,17,21,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 11:19:22.316,"D",34,35,NA,-0.300907400345192,NA,NA,"retest","Serif",22.3114,16.6274,28.5944,3.6642,27.7163,"Text","Text","Text","Text","Serif",0.45,0.45
"113",1754,"RealFireTurkey630","5c4e3977c0783c00016936f9","Courier",0.969463372,0.445559292,0.065537598,0.047256957,5,"it was pretty average",245.427904886016,-1.586376237,0.033341887,2314.87469452013,3,3,"Spiders.txt",1,"6","5","3",4,6,"6","Yes","30",6,6,4,5,"2","2",3,4,4,"4","unsure","Male","Yes","No",2,4,"4","4","4","4",4,"4","operations manager","2","0",4,5,"2","3","3","Bachelor's degree (4-year)",2,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","none",5,17,21,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 11:19:22.316,"D",35,35,-0.182281544748194,-0.351094494825726,-0.0134685946706628,-0.881251549084213,"retest","Monospaced",13.8746,10.9076,17.6571,1.6621,14.6557,"Text","Text","Text","Text","Serif",0.47,0.59
"114",1755,"RealFireTurkey630","5c4e3977c0783c00016936f9","LiebeLotte",NA,4.149939218,0.118453236,0.045970349,4,"you have to pay attention in  order to read it quickly",NA,-1.280252025,0.041822444,1143.94007693073,5,4,"Colours.txt",0.4,"6","5","3",4,6,"6","Yes","30",6,6,4,5,"2","2",3,4,4,"4","unsure","Male","Yes","No",2,4,"4","4","4","4",4,"4","operations manager","2","0",4,5,"2","3","3","Bachelor's degree (4-year)",2,7,4,4,"White/Caucasian",5,1,"no",4,5,4,"soundtrack 2 my life- kid cudi, poems and closing time- zach bryan","none",5,17,21,8,"Chrome","131.0.0.0","desktop","Windows 10","1280,720",2025-01-21 11:19:22.316,"D",31,35,NA,0.618041735873415,NA,NA,"retest","Hand lettering",61.4575,37.3904,96.9118,14.5907,89.6582,"Script","Script","Script","Script","Script",0.42,0.31
"115",1765,"RealGoldSnake868","5c50046b2b89f500015e5f6b","Edwardian",NA,0.764459698,0.065553087,0.047919384,2,"It felt like I had to ignore parts of the letters to figure out what the word was. It definitely felt like it took a lot of effort",149.986390123859,-1.197668463,0.03293657,945.844435924461,3,2,"Beaver.txt",1,"5","5","2",3,3,"3","Yes","26",4,6,5,6,"2","4",4,3,3,"3","how people react to different fonts","Male","No","No",3,6,"2","3","2","2",2,"2","analyst","0","0",3,5,"2","3","2","Bachelor's degree (4-year)",2,6,3,5,"Asian",4,1,"I scored higher on simpler fonts",5,4,2,"Viva la vida from coldplay and apologize from onerepublic","no",41,32,16,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 13:21:44.925,"B",19,35,NA,-0.116645405474127,NA,NA,"test","Script",12.4718,9.9725,15.6452,1.4725,13.8503,"Script","Script","Script","Script","Script",0.36,0.29
"116",1766,"RealGoldSnake868","5c50046b2b89f500015e5f6b","Georgia",0.481039661,NA,0.047842642,0.321474157,5,"it's like reading from a textbook, the kinds of textbooks I used growing up as a kid",233.571378081375,-1.495822492,0.032467169,1879.20319599913,NA,5,"Winter.txt",1,"5","5","2",3,3,"3","Yes","26",4,6,5,6,"2","4",4,3,3,"3","how people react to different fonts","Male","No","No",3,6,"2","3","2","2",2,"2","analyst","0","0",3,5,"2","3","2","Bachelor's degree (4-year)",2,6,3,5,"Asian",4,1,"I scored higher on simpler fonts",5,4,2,"Viva la vida from coldplay and apologize from onerepublic","no",41,32,16,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 13:21:44.925,"B",35,35,NA,NA,-0.317819115220019,NA,"test","Serif",14.4882,11.4929,18.0784,1.886,17.6329,"Text","Text","Text","Text","Serif",0.51,0.5
"117",1767,"RealGoldSnake868","5c50046b2b89f500015e5f6b","Museo",0.349434807,0.28709075,0.047441528,0.046332767,6,"It felt very easy and smooth to read, it didn't take much effort at all to read the words",255.296377000742,-1.374594961,0.034921772,1421.49786382027,NA,6,"Desert.txt",1,"5","5","2",3,3,"3","Yes","26",4,6,5,6,"2","4",4,3,3,"3","how people react to different fonts","Male","No","No",3,6,"2","3","2","2",2,"2","analyst","0","0",3,5,"2","3","2","Bachelor's degree (4-year)",2,6,3,5,"Asian",4,1,"I scored higher on simpler fonts",5,4,2,"Viva la vida from coldplay and apologize from onerepublic","no",41,32,16,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 13:21:44.925,"B",35,35,-0.499307318762274,-0.54198080014952,-0.456633837375028,-1.19827732309829,"test","Sans Serif",15.4746,12.4446,19.7308,1.8676,17.5795,"Text","Text","Text","Text","Sans Serif",0.53,0.52
"118",2191,"UpBlackFox517","5c50046b2b89f500015e5f6b","Edwardian",0.823967463,0.945155244,0.04596345,0.047256319,1,"It felt hard to keep up. I felt like I was spending more time deciphering the word than understanding the flow of the story",229.896468215507,-1.220743919,0.033691963,997.459266633042,3,2,"Islands.txt",1,"4","5","2",3,3,"3","Yes","26",4,6,5,6,"3","2",2,2,2,"2","How people perceive different fonts","Male","No","No",3,5,"2","2","2","2",2,"2","analyst","0","0",4,5,"2","2","2","Bachelor's degree (4-year)",2,6,4,4,"Asian",4,1,"I scored better on simpler fonts",4,4,2,"Viva la vida by coldplay and apologize by onerepublic","No",35,34,8,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 14:27:15.41,"B",35,35,-0.0542933946022702,-0.0244968517286575,-0.0840899374758828,-0.753263398938289,"retest","Script",12.4718,9.9725,15.6452,1.4725,13.8503,"Script","Script","Script","Script","Script",0.36,0.29
"119",2192,"UpBlackFox517","5c50046b2b89f500015e5f6b","Georgia",0.366790645,0.348719293,0.045480267,0.046570306,5,"It felt smooth and natural, like it's something I see everyday. It didn't take much effort at all",352.980220957945,-1.328988038,0.033298739,1279.79169743058,NA,6,"Spiders.txt",1,"4","5","2",3,3,"3","Yes","26",4,6,5,6,"3","2",2,2,2,"2","How people perceive different fonts","Male","No","No",3,5,"2","2","2","2",2,"2","analyst","0","0",4,5,"2","2","2","Bachelor's degree (4-year)",2,6,4,4,"Asian",4,1,"I scored better on simpler fonts",4,4,2,"Viva la vida by coldplay and apologize by onerepublic","No",35,34,8,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 14:27:15.41,"B",35,35,-0.446552887016592,-0.457524024486214,-0.43558174954697,-1.14552289135261,"retest","Serif",14.4882,11.4929,18.0784,1.886,17.6329,"Text","Text","Text","Text","Serif",0.51,0.5
"120",2193,"UpBlackFox517","5c50046b2b89f500015e5f6b","Museo",0.317358286,0.252906797,0.048746393,0.048178953,6,"One word flowed right into the other. The font felt smooth and curvy, it did not take much effort to read",NA,-1.459311073,0.03253846,1727.67609185944,NA,6,"Colours.txt",0.4,"4","5","2",3,3,"3","Yes","26",4,6,5,6,"3","2",2,2,2,"2","How people perceive different fonts","Male","No","No",3,5,"2","2","2","2",2,"2","analyst","0","0",4,5,"2","2","2","Bachelor's degree (4-year)",2,6,4,4,"Asian",4,1,"I scored better on simpler fonts",4,4,2,"Viva la vida by coldplay and apologize by onerepublic","No",35,34,8,12,"Chrome","131.0.0.0","desktop","Windows 10","1504,1003",2025-01-14 14:27:15.41,"B",35,35,-0.547744828346184,-0.597039498611601,-0.498450158080768,-1.2467148326822,"retest","Sans Serif",15.4746,12.4446,19.7308,1.8676,17.5795,"Text","Text","Text","Text","Sans Serif",0.53,0.52
"121",1810,"ShortBrownPear718","5c663cd56fdc87000162e255","Frutiger",2.890271962,2.52914089,0.053211825,0.058435932,5,"Fairly easy to read because of the size.",216.968936101469,-1.295400335,0.033780147,1184.54505858997,2,7,"Beaver.txt",0.6,"7","6","3",4,6,"5","Yes","26",6,7,7,2,"1","1",6,3,4,"3","Trying to understand if different fonts impacted comprehension or focus.","Male","No","No",3,6,"5","4","6","3",5,"4","Administrator","0","0",7,5,"3","3","5","Some college",1,7,6,5,"White/Caucasian",6,1,"I like things that appear fancy or classic. Based on that older styles and abstract fonts are likely higher rated for my taste.",4,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,31,39,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-22 13:05:51.999,"H",35,35,0.431955866506386,0.402973023114765,0.460938709898008,-0.267014137829632,"test","Sans Serif",16.1878,12.6425,21.8769,2.2107,17.2632,"Text","Text","Text","Text","Sans Serif",0.53,0.52
"122",1811,"ShortBrownPear718","5c663cd56fdc87000162e255","HautRelief",NA,NA,0.633734354,0.119393582,2,"Difficult because the font was cursive and harder to see at first glance.",247.010758141886,-1.098798934,0.032790891,753.269155268908,7,6,"Winter.txt",0.8,"7","6","3",4,6,"5","Yes","26",6,7,7,2,"1","1",6,3,4,"3","Trying to understand if different fonts impacted comprehension or focus.","Male","No","No",3,6,"5","4","6","3",5,"4","Administrator","0","0",7,5,"3","3","5","Some college",1,7,6,5,"White/Caucasian",6,1,"I like things that appear fancy or classic. Based on that older styles and abstract fonts are likely higher rated for my taste.",4,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,31,39,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-22 13:05:51.999,"H",35,35,NA,NA,NA,NA,"test","",17.7752,14.3441,23.7462,1.9733,19.3242,"Display","Display","Display","Display","Display",0.73,0.39
"123",1812,"ShortBrownPear718","5c663cd56fdc87000162e255","Sabon",3.095863538,2.46681304,0.06581817,0.050522615,5,"Easy to read based on that font size.",NA,-1.306214334,0.032857496,1214.41069806624,4,7,"Desert.txt",0.2,"7","6","3",4,6,"5","Yes","26",6,7,7,2,"1","1",6,3,4,"3","Trying to understand if different fonts impacted comprehension or focus.","Male","No","No",3,6,"5","4","6","3",5,"4","Administrator","0","0",7,5,"3","3","5","Some college",1,7,6,5,"White/Caucasian",6,1,"I like things that appear fancy or classic. Based on that older styles and abstract fonts are likely higher rated for my taste.",4,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,31,39,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-22 13:05:51.999,"H",35,35,0.441459022381049,0.392136235516013,0.490781809246085,-0.25751098195497,"test","Serif",12.4718,9.9725,15.6452,1.4725,13.8503,"Text","Text","Text","Text","Serif",0.48,0.48
"124",1498,"LoudGraySushi532","5c663cd56fdc87000162e255","Frutiger",1.015034681,1.171408559,0.052815036,0.046418371,5,"It is fairly clear and looks basic.",NA,-1.192940573,0.033303004,935.603468958293,5,5,"Islands.txt",0,"5","6","3",5,4,"3","Yes","26",5,7,5,3,"3","4",5,6,3,"2","Trying to understand how different fonts and styles impact reading comprehension.","Male","No","No",2,6,"4","5","3","5",3,"2","Administrator","0","0",7,5,"2","5","2","Some college",1,7,5,4,"White/Caucasian",5,1,"I prefer things that appear fancy or special. Because of that unique fonts might be preferable to me.",5,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,18,31,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-23 07:11:45.346,"H",35,35,0.0375946370447237,0.0687083929144876,0.00648088117495974,-0.661375367291295,"retest","Sans Serif",16.1878,12.6425,21.8769,2.2107,17.2632,"Text","Text","Text","Text","Sans Serif",0.53,0.52
"125",1499,"LoudGraySushi532","5c663cd56fdc87000162e255","HautRelief",7.622512886,8.625179501,0.04842919,0.053198642,4,"It was not as natural because of the cursive style. I had to think longer to understand the words.",195.319425737636,-0.795926361,0.031980674,375.040018464384,5,5,"Spiders.txt",1,"5","6","3",5,4,"3","Yes","26",5,7,5,3,"3","4",5,6,3,"2","Trying to understand how different fonts and styles impact reading comprehension.","Male","No","No",2,6,"4","5","3","5",3,"2","Administrator","0","0",7,5,"2","5","2","Some college",1,7,5,4,"White/Caucasian",5,1,"I prefer things that appear fancy or special. Because of that unique fonts might be preferable to me.",5,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,18,31,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-23 07:11:45.346,"H",35,35,0.908933154641542,0.935768142062136,0.882098167220949,0.209963150305523,"retest","",17.7752,14.3441,23.7462,1.9733,19.3242,"Display","Display","Display","Display","Display",0.73,0.39
"126",1500,"LoudGraySushi532","5c663cd56fdc87000162e255","Sabon",1.587664786,1.788195872,0.047244014,0.046435784,6,"It was a natural font that I found easy to read.",115.149978849188,-1.526453765,0.035037151,2016.53152286466,6,7,"Colours.txt",0.6,"5","6","3",5,4,"3","Yes","26",5,7,5,3,"3","4",5,6,3,"2","Trying to understand how different fonts and styles impact reading comprehension.","Male","No","No",2,6,"4","5","3","5",3,"2","Administrator","0","0",7,5,"2","5","2","Some college",1,7,5,4,"White/Caucasian",5,1,"I prefer things that appear fancy or special. Because of that unique fonts might be preferable to me.",5,5,5,"Cool by Gracie Abrams and Blank Space by Taylor Swift.","N/A",23,18,31,8,"Chrome","131.0.0.0","desktop","OS X 10.15.7","1440,899",2025-01-23 07:11:45.346,"H",35,35,0.226586950168981,0.252415087988805,0.200758812349157,-0.472383054167038,"retest","Serif",12.4718,9.9725,15.6452,1.4725,13.8503,"Text","Text","Text","Text","Serif",0.48,0.48
"127",1444,"KindSkyPear153","5c8db07eb1f89a0016777fe0","Baskerville",2.054786591,0.83977093,0.046553342,0.046469011,7,"this was pleasant and also familiar so I am used to this text.",292.588568998074,-1.413834104,0.033374253,1555.91316100639,3,7,"Beaver.txt",0.6,"5","3","1",5,6,"7","Yes","36",5,7,7,5,"3","5",5,5,3,"2","how you read in different fonts","Female","No","No",1,6,"1","2","3","5",4,"3","insurance sales","0","0",5,7,"2","2","2","High School (including GED)",1,7,6,2,"White/Caucasian",3,1,"no",5,5,2,"hot love by t.rex and jet by paul mccartney","none, tysm!",35,34,10,8,"Chrome","132.0.0.0","desktop","Windows 10","1229,691",2025-01-15 13:26:32.932,"C",35,35,0.118463779870257,-0.0758391632288038,0.312766722969319,-0.580506224465761,"test","Serif",12.9612,10.0157,16.7996,1.7726,15.6449,"Text","Text","Text","Text","Serif",0.44,0.46
"128",1445,"KindSkyPear153","5c8db07eb1f89a0016777fe0","Rollerscript",6.607134787,NA,0.044720658,0.202261792,3,"it is difficult and the font is kind of distracting.",201.012801404537,-1.169513628,0.032619612,886.471705671144,5,3,"Winter.txt",0.6,"5","3","1",5,6,"7","Yes","36",5,7,7,5,"3","5",5,5,3,"2","how you read in different fonts","Female","No","No",1,6,"1","2","3","5",4,"3","insurance sales","0","0",5,7,"2","2","2","High School (including GED)",1,7,6,2,"White/Caucasian",3,1,"no",5,5,2,"hot love by t.rex and jet by paul mccartney","none, tysm!",35,34,10,8,"Chrome","132.0.0.0","desktop","Windows 10","1229,691",2025-01-15 13:26:32.932,"C",35,35,NA,NA,0.820013166601453,NA,"test","Hand lettering",30.1874,16.275,56.2756,9.7648,32.4904,"Script","Script","Script","Script","Script",0.49,0.46
"129",1446,"KindSkyPear153","5c8db07eb1f89a0016777fe0","ScarletWood",4.543010583,1.66740574,0.052849595,0.046738863,5,"the text was pleasant and it made me want to keep reading.",317.667135204169,-1.509735748,0.03222942,1940.38093286185,6,5,"Desert.txt",1,"5","3","1",5,6,"7","Yes","36",5,7,7,5,"3","5",5,5,3,"2","how you read in different fonts","Female","No","No",1,6,"1","2","3","5",4,"3","insurance sales","0","0",5,7,"2","2","2","High School (including GED)",1,7,6,2,"White/Caucasian",3,1,"no",5,5,2,"hot love by t.rex and jet by paul mccartney","none, tysm!",35,34,10,8,"Chrome","132.0.0.0","desktop","Windows 10","1229,691",2025-01-15 13:26:32.932,"C",35,35,0.439692520360525,0.222041292210815,0.657343748510234,-0.259277483975494,"test","",21.8791,12.7113,36.2848,5.5947,22.8075,"Text","Text","Display","Text","Sans Serif",0.59,0.54
